title,author,Practices,method,link,Disciplines,journal,medium,keywords,location,Relevance,Impact Scale (0-10),Notes
What Are the Implications of Digitalisation for Agricultural Knowledge?,"Ingram, Julie; Maye, Damian",,,,,FRONTIERS IN SUSTAINABLE FOOD SYSTEMS,article,digital agriculture; agricultural knowledge and innovation system; knowledge; smart farming; farmer; big data,,,,
The effect of microbial inoculant origin on the rhizosphere bacterial community composition and plant growth-promotion,"Gu, Yian; Dong, Ke; Geisen, Stefan; Yang, Wei; Yan, Yaner; Gu, Dalu; Liu, Naisen; Borisjuk, Nikolai; Luo, Yuming; Friman, Ville-Petri",,,,,PLANT AND SOIL,article,Microbial inoculation; Microbial transplants; Plant growth-promotion; Rhizosphere microbiota; Soil functioning; Diversity,,,,
What's wrong with drones? Automatization and target selection,"Melancon, Andree-Anne",,,,,SMALL WARS AND INSURGENCIES,article,Drones; ethics; automatization; targeting; artificial intelligence,,,,
"A Systematic Review of Methodological Variation in Healthcare Provider Perspective Tuberculosis Costing Papers Conducted in Low- and Middle-Income Settings, Using An Intervention-Standardised Unit Cost Typology","Cunnama, Lucy; Gomez, Gabriela B.; Siapka, Mariana; Herzel, Ben; Hill, Jeremy; Kairu, Angela; Levin, Carol; Okello, Dickson; DeCormier Plosky, Willyanne; Garcia Baena, Ines; Sweeney, Sedona; Vassall, Anna; Sinanovic, Edina",,,,,PHARMACOECONOMICS,article,,,,,
What's wrong with drones? Automatization and target selection,"Melancon, Andree-Anne",,,,,SMALL WARS AND INSURGENCIES,article,Drones; ethics; automatization; targeting; artificial intelligence,,,,
The Development of the Military Service Identification Tool: Identifying Military Veterans in a Clinical Research Database Using Natural Language Processing and Machine Learning,"Leightley, Daniel; Pernet, David; Velupillai, Sumithra; Stewart, Robert J.; Mark, Katharine M.; Opie, Elena; Murphy, Dominic; Fear, Nicola T.; Stevelink, Sharon A. M.",,,,,JMIR MEDICAL INFORMATICS,article,natural language processing; machine learning; military personnel; electronic health care records; mental health; veteran,,,,
Toward Business Integrity Modeling and Analysis Framework for Risk Measurement and Analysis,"Chang, Victor; Valverde, Raul; Ramachandran, Muthu; Li, Chung-Sheng",,,,,APPLIED SCIENCES-BASEL,article,financialization; Business Integrity Modeling and Analysis (BIMA) framework; Monte Carlo simulations and Black Scholes models; financial cloud analytics; risk management,,,,
Optimizing exoplanet atmosphere retrieval using unsupervised machine-learning classification,"Hayes, J. J. C.; Kerins, E.; Awiphan, S.; McDonald, I; Morgan, J. S.; Chuanraksasat, P.; Komonjinda, S.; Sanguansak, N.; Kittara, P.",,,,,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,article,methods: data analysis; methods: statistical; planets and satellites: atmospheres,,,,
A Data-informed Public Health Policy-Makers Platform,"Brdaric, Dario; Samardzic, Senka; Huskic, Ivana Mihin; Dritsakis, Giorgos; Sessa, Jadran; Sliwinska-Kowalska, Mariola; Pawlaczyk-Luszczynska, Malgorzata; Basdekis, Ioannis; Spanoudakis, George",,,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,article,policymaking; big data analytics; health,,,,
"Knowing me, knowing you: theory of mind in AI","Cuzzolin, F.; Morelli, A.; Cirstea, B.; Sahakian, B. J.",,,,,PSYCHOLOGICAL MEDICINE,article,AI ethics; artificial intelligence (AI); hot cognition; human-machine interaction; Theory of Mind,,,,
What do senior physicians think about AI and clinical decision support systems: Quantitative and qualitative analysis of data from specialty societies,"Petkus, Haroldas; Hoogewerf, Jan; Wyatt, Jeremy C.",,,,,CLINICAL MEDICINE,article,Professional concerns; artificial intelligence; decision support systems; evaluation; regulation,,,,
AI-A Game Changer or a Solution Looking for a Problem,"Mohanty, Sashikant",,,,,IEEE CONSUMER ELECTRONICS MAGAZINE,article,Artificial intelligence; Ethics; Industries; Autonomous automobiles; Games; Automobiles,,,,
Clinical Protocol for a Longitudinal Cohort Study Employing Systems Biology to Identify Markers of Vaccine Immunogenicity in Newborn Infants in The Gambia and Papua New Guinea,"Idoko, Olubukola T.; Smolen, Kinga K.; Wariri, Oghenebrume; Imam, Abdulazeez; Shannon, Casey P.; Dibassey, Tida; Diray-Arce, Joann; Darboe, Alansana; Strandmark, Julia; Ben-Othman, Rym; Odumade, Oludare A.; McEnaney, Kerry; Amenyogbe, Nelly; Pomat, William S.; van Haren, Simon; Sanchez-Schmitz, Guzman; Brinkman, Ryan R.; Steen, Hanno; Hancock, Robert E. W.; Tebbutt, Scott J.; Richmond, Peter C.; van den Biggelaar, Anita H. J.; Kollmann, Tobias R.; Levy, Ofer; Ozonoff, Al; Kampmann, Beate",,,,,FRONTIERS IN PEDIATRICS,article,markers; newborn; vaccine; immunogenicity; systems biology; OMICS,,,,
Immune Modulation by Design: Using Topography to Control Human Monocyte Attachment and Macrophage Differentiation,"Vassey, Matthew J.; Figueredo, Grazziela P.; Scurr, David J.; Vasilevich, Aliaksei S.; Vermeulen, Steven; Carlier, Aurelie; Luckett, Jeni; Beijer, Nick R. M.; Williams, Paul; Winkler, David A.; de Boer, Jan; Ghaemmaghami, Amir M.; Alexander, Morgan R.",,,,,ADVANCED SCIENCE,article,biomaterials; high-throughput screening; immune-modulation; topography,,,,
Digital labour at economic margins: African workers and the global information economy,"Anwar, Mohammad Amir; Graham, Mark",,,,,REVIEW OF AFRICAN POLITICAL ECONOMY,article,,,,,
Data ecosystems for protecting European citizens' digital rights,"Calzada, Igor; Almirall, Esteve",,,,,TRANSFORMING GOVERNMENT- PEOPLE PROCESS AND POLICY,article,Data ecosystems; Digital rights; GDPR; Smart cities; Data infrastructures; Data institutions; Barcelona; Data commons; Fieldwork; Action research,,,,
"AI in Cardiac Imaging: A UK-Based Perspective on Addressing the Ethical, Social, and Political Challenges","Fenech, Matthew E.; Buston, Olly",,,,,FRONTIERS IN CARDIOVASCULAR MEDICINE,article,artificial intelligence; ethics; policy; principles; regulation,,,,
The Personality Panorama: Conceptualizing Personality Through Big Behavioural Data,"Boyd, Ryan L.; Pasca, Paola; Lanning, Kevin",,,,,EUROPEAN JOURNAL OF PERSONALITY,article,big data; personality; psychometrics; behaviour; ethics,,,,
Deep learning with knowledge transfer for explainable anomaly prediction in wind turbines,"Chatterjee, Joyjit; Dethlefs, Nina",,,,,WIND ENERGY,article,LSTM; SCADA; SMOTE; transfer learning; XGBoost,,,,
"Service robots, customers and service employees: what can we learn from the academic literature and where are the gaps?","Vinh Nhat Lu; Wirtz, Jochen; Kunz, Werner H.; Paluch, Stefanie; Gruber, Thorsten; Martins, Antje; Patterson, Paul G.",,,,,JOURNAL OF SERVICE THEORY AND PRACTICE,article,Service robots; Artificial intelligence; AI; Literature analysis; Customers; Service employees,,,,
How to Design AI for Social Good: Seven Essential Factors,"Floridi, Luciano; Cowls, Josh; King, Thomas C.; Taddeo, Mariarosaria",,,,,SCIENCE AND ENGINEERING ETHICS,article,AI4SG; Artificial intelligence; Ethics; Social good; Transparency; Privacy; Safety,,,,
Antisemitism on Twitter: Collective Efficacy and the Role of Community Organisations in Challenging Online Hate Speech,"Ozalp, Sefa; Williams, Matthew L.; Burnap, Pete; Liu, Han; Mostafa, Mohamed",,,,,SOCIAL MEDIA + SOCIETY,article,antisemitism; collective efficacy; hate speech; social media; twitter,,,,
A Trust Model Using Edge Nodes and a Cuckoo Filter for Securing VANET under the NLoS Condition,"Soleymani, Seyed Ahmad; Goudarzi, Shidrokh; Anisi, Mohammad Hossein; Kama, Nazri; Ismail, Saiful Adli; Azmi, Azri; Zareei, Mahdi; Abdullah, Abdul Hanan",,,,,SYMMETRY-BASEL,article,trust; plausibility; experience; edge node; fuzzy; LoS; NLoS; kNN; cuckoo filter; VANET,,,,
A novel deep mining model for effective knowledge discovery from omics data,"Alzubaidi, Abeer; Tepper, Jonathan; Lotfi, Ahmad",,,,,ARTIFICIAL INTELLIGENCE IN MEDICINE,article,Knowledge discovery; Data mining; AI; Deep learning; Omics data analysis; Predictive modelling; Precision medicine,,,,
"Availability, access, analysis and dissemination of small-area data","Hodgson, Susan; Fecht, Daniela; Gulliver, John; Daby, Hima Iyathooray; Piel, Frederic B.; Yip, Fuyuen; Strosnider, Heather; Hansell, Anna; Elliott, Paul",,,,,INTERNATIONAL JOURNAL OF EPIDEMIOLOGY,article,Small-area studies; open data; remote sensing; environment and health,,,,
"Artificial Intelligence, Transport and the Smart City: Definitions and Dimensions of a New Mobility Era","Nikitas, Alexandros; Michalakopoulou, Kalliopi; Njoya, Eric Tchouamou; Karampatzakis, Dimitris",,,,,SUSTAINABILITY,article,artificial intelligence; smart city; smart transport; connected and autonomous vehicles; personal and unmanned aerial vehicles; mobility-as-a-service; internet of things; physical internet; industry 4.0,,,,
Platform values and democratic elections: How can the law regulate digital disinformation?,"Marsden, Chris; Meyer, Trisha; Brown, Ian",,,,,COMPUTER LAW & SECURITY REVIEW,article,Disinformation; Artificial intelligence; Co-regulation; Self-regulation; Internet law; Social media regulation; Platform regulation; Elections; Fake news,,,,
A New Methodology for Supply Chain Management: Discourse Analysis and its Potential for Theoretical Advancement,"Hardy, Cynthia; Bhakoo, Vikram; Maguire, Steve",,,,,JOURNAL OF SUPPLY CHAIN MANAGEMENT,article,environmental issues; ethics; human resources; social responsibility; discourse analysis; research methods,,,,
Can twitter analytics predict election outcome? An insight from 2017 Punjab assembly elections,"Singh, Prabhsimran; Dwivedi, Yogesh K.; Kahlon, Karanjeet Singh; Pathania, Annie; Sawhney, Ravinder Singh",,,,,GOVERNMENT INFORMATION QUARTERLY,article,Analytics; Election prediction; Social media; Natural language processing; Machine learning; Sentiment analysis; Twitter,,,,
Defining ethical standards for the application of digital tools to population health research,"Samuel, Gabrielle; Derrick, Gemma",,,,,BULLETIN OF THE WORLD HEALTH ORGANIZATION,article,,,,,
"Artificial intelligence and the ongoing need for empathy, compassion and trust in healthcare","Kerasidou, Angeliki",,,,,BULLETIN OF THE WORLD HEALTH ORGANIZATION,article,,,,,
"Ethical barriers to artificial intelligence in the national health service, United Kingdom of Great Britain and Northern Ireland","Thompson, Claire Louise; Morgan, Heather May",,,,,BULLETIN OF THE WORLD HEALTH ORGANIZATION,article,,,,,
"Big Data, Big Waste? A Reflection on the Environmental Sustainability of Big Data Initiatives","Lucivero, Federica",,,,,SCIENCE AND ENGINEERING ETHICS,article,Big Data; Environmental impacts; Materiality; Responsibility; Sustainability,,,,
Genetic and Inflammatory Biomarkers Classify Small Intestine Inflammation in Asymptomatic First-degree Relatives of Patients With Crohn's Disease,"Taylor, Kirstin M.; Hanscombe, Ken B.; Prescott, Natalie J.; Iniesta, Raquel; Traylor, Matthew; Taylor, Nicola S.; Fong, Steven; Powell, Nicholas; Irving, Peter M.; Anderson, Simon H.; Mathew, Christopher G.; Lewis, Cathryn M.; Sanderson, Jeremy D.",,,,,CLINICAL GASTROENTEROLOGY AND HEPATOLOGY,article,Crohn's Disease; First-Degree Relative; Genetic Risk; Environmental Risk; Fecal Calprotectin; Capsule Endoscopy; Machine Learning,,,,
Deep strategic mediatization: Organizational leaders' knowledge and usage of social bots in an era of disinformation,"Wiesenberg, M.; Tench, R.",,,,,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,article,Social bots; Algorithmic PR; Automated PR; Strategic communication; Deep strategic mediatization; Automation; Comparative research,,,,
"Cautions, Concerns, and Future Directions for Using Machine Learning in Relation to Mental Health Problems and Clinical and Forensic Risks: A Brief Comment on ""Model Complexity Improves the Prediction of Nonsuicidal Self-Injury"" (Fox et al., 2019)","Siddaway, Andy P.; Quinlivan, Leah; Kapur, Nav; O'Connor, Rory C.; de Beurs, Derek",,,,,JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,article,risk; prediction; suicide; machine learning; self-injury,,,,
Design Considerations for Real-Time Collaboration with Creative Artificial Intelligence,"McCormack, Jon; Hutchings, Patrick; Gifford, Toby; Yee-King, Matthew; Llano, Maria Teresa; D'inverno, Mark",,,,,ORGANISED SOUND,article,,,,,
Where medical education meets artificial intelligence: 'Does technology care?',"Niet, Anneke G.; Bleakley, Alan",,,,,MEDICAL EDUCATION,article,,,,,
What is AI? Applications of artificial intelligence to dermatology,"Du-Harpur, X.; Watt, F. M.; Luscombe, N. M.; Lynch, M. D.",,,,,BRITISH JOURNAL OF DERMATOLOGY,article,,,,,
FloraGuard: Tackling the Online Illegal Trade in Endangered Plants Through a Cross-Disciplinary ICT-Enabled Methodology,"Lavorgna, Anita; Middleton, Stuart E.; Pickering, Brian; Neumann, Geoff",,,,,JOURNAL OF CONTEMPORARY CRIMINAL JUSTICE,article,wildlife trafficking; plant crimes; explainable AI; ethics in online research; natural language processing,,,,
"Machine learning and artificial intelligence research for patient benefit: 20 critical questions on transparency, replicability, ethics, and effectiveness","Vollmer, Sebastian; Mateen, Bilal A.; Bohner, Gergo; Kiraly, Franz J.; Ghani, Rayid; Jonsson, Pall; Cumbers, Sarah; Jonas, Adrian; McAllister, Katherine S. L.; Myles, Puja; Grainger, David; Birse, Mark; Branson, Richard; Moons, Karel G. M.; Collins, Gary S.; Ioannidis, John P. A.; Holmes, Chris; Hemingway, Harry",,,,,BMJ-BRITISH MEDICAL JOURNAL,article,,,,,
Scaling carbon fluxes from eddy covariance sites to globe: synthesis and evaluation of the FLUXCOM approach,"Jung, Martin; Schwalm, Christopher; Migliavacca, Mirco; Walther, Sophia; Camps-Valls, Gustau; Koirala, Sujan; Anthoni, Peter; Besnard, Simon; Bodesheim, Paul; Carvalhais, Nuno; Chevallier, Frederic; Gans, Fabian; Goll, Daniel S.; Haverd, Vanessa; Kohler, Philipp; Ichii, Kazuhito; Jain, Atul K.; Liu, Junzhi; Lombardozzi, Danica; Nabel, Julia E. M. S.; Nelson, Jacob A.; O'Sullivan, Michael; Pallandt, Martijn; Papale, Dario; Peters, Wouter; Pongratz, Julia; Roedenbeck, Christian; Sitch, Stephen; Tramontana, Gianluca; Walker, Anthony; Weber, Ulrich; Reichstein, Markus",,,,,BIOGEOSCIENCES,article,,,,,
Exploring the ethical implications of business analytics with a business ethics canvas,"Vidgen, Richard; Hindle, Giles; Randolph, Ian",,,,,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,article,Business analytics; Data science; Business ethics canvas; Markkula; GDPR,,,,
BrainOS: A Novel Artificial Brain-Alike Automatic Machine Learning Framework,"Howard, Newton; Chouikhi, Naima; Adeel, Ahsan; Dial, Katelyn; Howard, Adam; Hussain, Amir",,,,,FRONTIERS IN COMPUTATIONAL NEUROSCIENCE,article,human brain; artificial intelligence; architecture design; hyperparameters; automatic machine learning; BrainOS,,,,
AI-enabled business models in legal services: from traditional law firms to next-generation law companies?,"Armour, John; Sako, Mari",,,,,JOURNAL OF PROFESSIONS AND ORGANIZATION,article,artificial intelligence; business models; complementarities; professional service firms; legal services,,,,
Dealing with the game-changing technologies of Agriculture 4.0: How do we manage diversity and responsibility in food system transition pathways?,"Klerkx, Laurens; Rose, David",,,,,GLOBAL FOOD SECURITY-AGRICULTURE POLICY ECONOMICS AND ENVIRONMENT,article,Industry 4.0.; Responsible research and innovation; Mission oriented innovation policy; Agricultural innovation systems; Sustainability transitions,,,,
Ethical Foresight Analysis: What it is and Why it is Needed?,"Floridi, Luciano; Strait, Andrew",,,,,MINDS AND MACHINES,article,Artificial intelligence; Data science; Ethics; Foresight analysis; Machine learning; Innovation,,,,
"A Solution to the Hyper Complex, Cross Domain Reality of Artificial Intelligence: The Hierarchy of AI","Kear, Andrew; Folkes, Sasha L.",,,,,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,article,Artificial intelligence; classification; ground truth value; Hierarchy of AI; Model of AI,,,,
An incremental explanation of inference in Bayesian networks for increasing model trustworthiness and supporting clinical decision making,"Kyrimi, Evangelia; Mossadegh, Somayyeh; Tai, Nigel; Marsh, William",,,,,ARTIFICIAL INTELLIGENCE IN MEDICINE,article,Bayesian networks; Explanation of reasoning; Trust; Decision making,,,,
Implementation of a cloud-based referral platform in ophthalmology: making telemedicine services a reality in eye care,"Kern, Christoph; Fu, Dun Jack; Kortuem, Karsten; Huemer, Josef; Barker, David; Davis, Alison; Balaskas, Konstantinos; Keane, Pearse A.; McKinnon, Tom; Sim, Dawn A.",,,,,BRITISH JOURNAL OF OPHTHALMOLOGY,article,,,,,
Deepfakes: Trick or treat?,"Kietzmann, Jan; Lee, Linda W.; McCarthy, Ian P.; Kietzmann, Tim C.",,,,,BUSINESS HORIZONS,article,Deepfakes; Fake news; Artificial intelligence; Machine learning; Deep neural networks,,,,
Recommender systems and their ethical challenges,"Milano, Silvia; Taddeo, Mariarosaria; Floridi, Luciano",,,,,AI & SOCIETY,article,Algorithms; Artificial intelligence; Digital ethics; Ethical trade-offs; Ethics of recommendation; Machine learning; Recommender systems,,,,
Software-assisted decision support in digital histopathology,"Huss, Ralf; Coupland, Sarah E.",,,,,JOURNAL OF PATHOLOGY,article,digital histology; computational pathology; image analysis; decision support; artificial intelligence,,,,
Big Archaeology: Horizons and Blindspots,"VanValkenburgh, Parker; Dufton, J. Andrew",,,,,JOURNAL OF FIELD ARCHAEOLOGY,article,Big data; digital archaeology; remote sensing; lidar; drones; UAVs; vision; archaeological theory; archaeological ethics,,,,
Towards a European health research and innovation cloud (HRIC),"Aarestrup, F. M.; Albeyatti, A.; Armitage, W. J.; Auffray, C.; Augello, L.; Balling, R.; Benhabiles, N.; Bertolini, G.; Bjaalie, J. G.; Black, M.; Blomberg, N.; Bogaert, P.; Bubak, M.; Claerhout, B.; Clarke, L.; De Meulder, B.; D'Errico, G.; Di Meglio, A.; Forgo, N.; Gans-Combe, C.; Gray, A. E.; Gut, I.; Gyllenberg, A.; Hemmrich-Stanisak, G.; Hjorth, L.; Ioannidis, Y.; Jarmalaite, S.; Kel, A.; Kherif, F.; Korbel, J. O.; Larue, C.; Laszlo, M.; Maas, A.; Magalhaes, L.; Manneh-Vangramberen, I.; Morley-Fletcher, E.; Ohmann, C.; Oksvold, P.; Oxtoby, N. P.; Perseil, I.; Pezoulas, V.; Riess, O.; Riper, H.; Roca, J.; Rosenstiel, P.; Sabatier, P.; Sanz, F.; Tayeb, M.; Thomassen, G.; Van Bussel, J.; Van den Bulcke, M.; Van Oyen, H.",,,,,GENOME MEDICINE,article,,,,,
Integrating artificial intelligence into the clinical practice of radiology: challenges and recommendations,"Recht, Michael P.; Dewey, Marc; Dreyer, Keith; Langlotz, Curtis; Niessen, Wiro; Prainsack, Barbara; Smith, John J.",,,,,EUROPEAN RADIOLOGY,article,Artificial intelligence; Bioethics; Data; Regulation; Education,,,,
Using knowledge discovery through data mining to gain intelligence from routinely collected incident reporting in an acute English hospital,"Leary, Alison; Cook, Robert; Jones, Sarahjane; Radford, Mark; Smith, Judtih; Gough, Malcolm; Punshon, Geoffrey",,,,,INTERNATIONAL JOURNAL OF HEALTH CARE QUALITY ASSURANCE,article,Health informatics; Patient safety; Risk management; Workforce; Staffing; Incident reporting; Databases; Data mining; Information and knowledge management,,,,
"Blockchain technology for enhancing swift-trust, collaboration and resilience within a humanitarian supply chain setting","Dubey, Rameshwar; Gunasekaran, Angappa; Bryde, David J.; Dwivedi, Yogesh K.; Papadopoulos, Thanos",,,,,INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,article,blockchain technology; distributed ledger technology; humanitarian supply chain management; humanitarian operations management; swift-trust; collaboration; supply chain resilience; operational supply chain transparency,,,,
Bias in data-driven artificial intelligence systems-An introductory survey,"Ntoutsi, Eirini; Fafalios, Pavlos; Gadiraju, Ujwal; Iosifidis, Vasileios; Nejdl, Wolfgang; Vidal, Maria-Esther; Ruggieri, Salvatore; Turini, Franco; Papadopoulos, Symeon; Krasanakis, Emmanouil; Kompatsiaris, Ioannis; Kinder-Kurlanda, Katharina; Wagner, Claudia; Karimi, Fariba; Fernandez, Miriam; Alani, Harith; Berendt, Bettina; Kruegel, Tina; Heinze, Christian; Broelemann, Klaus; Kasneci, Gjergji; Tiropanis, Thanassis; Staab, Steffen",,,,,WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,article,fairness; fairness-aware AI; fairness-aware machine learning; interpretability; responsible AI,,,,
Mining government tweets to identify and predict citizens engagement,"Siyam, Nur; Alqaryouti, Omar; Abdallah, Sherief",,,,,TECHNOLOGY IN SOCIETY,article,Dubai government; Twitter data; Post engagement; Mining government tweets; Machine learning; Ensemble learning models,,,,
A General in Vitro Assay for Studying Enzymatic Activities of the Ubiquitin System,"Zuo, Yukun; Chong, Boon Keat; Jiang, Kun; Finley, Daniel; Klenerman, David; Ye, Yu",,,,,BIOCHEMISTRY,article,,,,,
Artificial Intelligence Crime: An Interdisciplinary Analysis of Foreseeable Threats and Solutions,"King, Thomas C.; Aggarwal, Nikita; Taddeo, Mariarosaria; Floridi, Luciano",,,,,SCIENCE AND ENGINEERING ETHICS,article,AI and law; AI-Crime; Artificial intelligence; Dual-use; Ethics; Machine learning,,,,
"Mind the gaps: Assuring the safety of autonomous systems from an engineering, ethical, and legal perspective","Burton, Simon; Habli, Ibrahim; Lawton, Tom; McDermid, John; Morgan, Phillip; Porter, Zoe",,,,,ARTIFICIAL INTELLIGENCE,article,Safety; Autonomous systems; Artificial intelligence; Law; Ethics,,,,
AI gone mental': engagement and ethics in data-driven technology for mental health,"Carr, Sarah",,,,,JOURNAL OF MENTAL HEALTH,article,,,,,
An ethically mindful approach to AI for health care,"Morley, Jessica; Floridi, Luciano",,,,,LANCET,article,,,,,
